Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price
79545.4585743168,5.682861322,7.009188143,4.09,23086.8005026865,1059033.55787012
79248.6424548257,6.002899808,6.730821019,3.09,40173.0721736448,1505890.91484695
61287.0671786568,5.86588984,8.51272743,5.13,36882.1593997046,1058987.98787608
63345.240046228,7.188236095,5.586728665,3.26,34310.2428309071,1260616.80662945
59982.197225708,5.040554523,7.839387785,4.23,26354.1094721031,630943.48933854
80175.7541594853,4.988407758,6.104512439,4.04,26748.4284246897,1068138.07439353
64698.4634278877,6.025335907,8.147759585,3.41,60828.2490854072,1502055.81737441
78394.3392775309,6.989779748,6.620477995,2.42,36516.3589724938,1573936.56447772
59927.6608133496,5.36212557,6.393120981,2.3,29387.3960028158,798869.532833163
81885.9271840957,4.42367179,8.167688004,6.1,40149.9657492134,1545154.81264196
80527.4720829229,8.093512681,5.0427468,4.1,47224.3598402219,1707045.72215806
50593.6954970428,4.496512793,7.467627404,4.49,34343.9918855788,663732.396896327
39033.8092369824,7.671755373,7.250029317,3.1,39220.3614673725,1042814.09782009
73163.6634410467,6.919534826,5.993187901,2.27,32326.1231394881,1291331.51848582
69391.3801843616,5.344776177,8.406417715,4.37,35521.2940331732,1402818.21016585
73091.8667458232,5.443156467,8.517512711,4.01,23929.524053268,1306674.6599512
79706.9630576574,5.067889591,8.219771123,3.12,39717.8135763095,1556786.60019477
61929.0770180893,4.788550242,5.097009554,4.3,24595.901497823,528485.246730596
63508.1943,5.94716514,7.187773835,5.12,35719.6530520309,1019425.93675783
62085.2764034049,5.739410844,7.091808104,5.49,44922.1067022931,1030591.42921161
86294.9990887106,6.62745694,8.011897853,4.07,47560.7753362952,2146925.33988866
60835.089978854,5.551221592,6.517175038,2.1,45574.741662258,929247.5995
64490.6502667551,4.21032287,5.478087731,4.31,40358.9601056176,718887.231500928
60697.3515394483,6.170484091,7.150536572,6.34,28140.9670877247,743999.819160197
59748.8554869742,5.339339881,7.748681606,4.23,27809.9865437589,895737.133383508
56974.4765387964,8.287562194,7.312879972,4.33,40694.8695130223,1453974.50595087
82173.626075846,4.018524685,6.992698757,2.03,38853.9180664817,1125692.50729529
64626.8809781355,5.44335959,6.988753539,4,27784.7422801859,975429.492792922
90499.0574513475,6.384358921,4.242191302,3.04,33970.1649903713,1240763.76557148
59323.7920997004,6.97782794,8.273697078,4.07,37520.6577324497,1577017.76000155
77811.5220345745,5.314460215,6.686686133,3.24,33754.7378049846,1246830.18842863
68652.6092109066,6.1243421,6.290820167,4.42,39355.6257294703,1170720.89365429
55041.3515833392,7.127128553,8.591923294,5.36,30122.4734835579,1071279.21024454
50218.7084630007,6.118808131,7.333554072,6.29,16810.7833112579,534305.132334929
55909.3222951535,5.419562911,9.289854372,6,22355.2354066691,936368.963404861
74372.8102091551,5.500128573,6.593045604,2.07,39395.1511823291,1199193.83132951
78667.9045976474,5.470652207,7.780836693,4.1,27637.656548219,1233220.00947781
78699.5151029104,5.652783637,6.756453856,3.01,22836.6075694913,1081150.12548381
53128.1854489144,5.180664125,5.426902859,2.39,32947.7119550689,524712.766067453
17796.6311895434,4.949557006,6.713905445,2.5,47162.1836431914,302355.835978956
